"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2024","4,139.65","4,003.60","4,149.80","3,975.25","3.79M","4.24%"
"05/11/2024","3,971.35","3,941.10","3,986.00","3,941.10","967.59K","0.18%"
"04/11/2024","3,964.15","3,966.30","3,991.90","3,913.25","2.27M","-0.50%"
"01/11/2024","3,984.20","3,989.85","3,998.95","3,976.05","154.90K","0.40%"
"31/10/2024","3,968.45","4,070.00","4,078.30","3,960.00","3.74M","-2.84%"
"30/10/2024","4,084.65","4,075.00","4,107.00","4,060.05","1.94M","0.23%"
"29/10/2024","4,075.25","4,095.85","4,103.50","4,060.10","1.45M","-0.38%"
"28/10/2024","4,090.85","4,068.95","4,134.00","4,051.00","1.53M","0.82%"
"25/10/2024","4,057.55","4,057.05","4,092.00","4,032.70","1.76M","0.24%"
"24/10/2024","4,047.90","4,004.00","4,079.00","4,004.00","2.68M","-0.45%"
"23/10/2024","4,066.25","3,999.60","4,113.55","3,995.15","1.97M","1.26%"
"22/10/2024","4,015.50","4,066.00","4,089.80","4,006.35","1.93M","-1.58%"
"21/10/2024","4,079.85","4,132.60","4,139.95","4,070.00","1.60M","-1.05%"
"18/10/2024","4,123.05","4,090.00","4,146.15","4,080.00","2.36M","0.34%"
"17/10/2024","4,109.00","4,112.80","4,129.95","4,092.95","2.52M","0.34%"
"16/10/2024","4,094.95","4,085.00","4,115.00","4,067.20","2.36M","-0.53%"
"15/10/2024","4,116.80","4,131.05","4,169.95","4,095.00","2.76M","-0.48%"
"14/10/2024","4,136.65","4,140.00","4,165.40","4,122.20","2.14M","-0.30%"
"11/10/2024","4,149.20","4,143.00","4,241.95","4,112.45","5.76M","-1.85%"
"10/10/2024","4,227.40","4,253.25","4,293.85","4,198.60","2.38M","-0.60%"
"09/10/2024","4,252.95","4,260.00","4,295.00","4,246.70","1.08M","-0.01%"
"08/10/2024","4,253.25","4,272.60","4,279.40","4,203.95","1.54M","-0.46%"
"07/10/2024","4,272.85","4,273.90","4,297.25","4,229.40","1.47M","0.48%"
"04/10/2024","4,252.25","4,225.00","4,298.00","4,224.05","2.97M","0.46%"
"03/10/2024","4,232.75","4,262.60","4,279.00","4,210.00","3.35M","-1.29%"
"01/10/2024","4,287.90","4,255.55","4,295.75","4,242.95","1.82M","0.45%"
"30/09/2024","4,268.50","4,286.90","4,298.75","4,260.05","2.50M","-0.93%"
"27/09/2024","4,308.70","4,335.00","4,378.00","4,300.05","3.01M","0.38%"
"26/09/2024","4,292.50","4,260.00","4,316.80","4,260.00","3.96M","0.42%"
"25/09/2024","4,274.75","4,252.35","4,289.60","4,240.00","2.71M","0.08%"
"24/09/2024","4,271.30","4,251.65","4,291.00","4,240.00","3.01M","0.07%"
"23/09/2024","4,268.50","4,300.00","4,309.40","4,253.00","1.70M","-0.38%"
"20/09/2024","4,284.90","4,316.90","4,330.70","4,227.50","5.45M","-0.26%"
"19/09/2024","4,296.15","4,390.05","4,422.20","4,281.80","2.93M","-1.15%"
"18/09/2024","4,346.15","4,497.05","4,497.05","4,321.00","2.96M","-3.54%"
"17/09/2024","4,505.65","4,513.25","4,535.80","4,466.00","1.70M","-0.17%"
"16/09/2024","4,513.25","4,527.00","4,546.05","4,494.45","1.16M","-0.21%"
"13/09/2024","4,522.60","4,530.00","4,547.00","4,505.00","1.46M","0.11%"
"12/09/2024","4,517.70","4,510.25","4,532.60","4,431.30","2.74M","0.86%"
"11/09/2024","4,479.35","4,521.45","4,549.35","4,471.25","1.33M","-0.63%"
"10/09/2024","4,507.85","4,442.45","4,539.95","4,440.45","1.39M","1.31%"
"09/09/2024","4,449.55","4,455.00","4,490.25","4,430.50","1.18M","-0.16%"
"06/09/2024","4,456.75","4,473.95","4,518.95","4,440.00","1.65M","-0.43%"
"05/09/2024","4,475.95","4,481.00","4,499.00","4,454.15","1.69M","-0.07%"
"04/09/2024","4,479.25","4,476.95","4,487.00","4,436.70","1.27M","-0.73%"
"03/09/2024","4,512.35","4,521.05","4,555.90","4,495.90","1.72M","-0.19%"
"02/09/2024","4,521.05","4,576.00","4,588.00","4,512.00","1.22M","-0.72%"
"30/08/2024","4,553.75","4,500.00","4,592.25","4,487.80","3.64M","0.93%"
"29/08/2024","4,511.80","4,460.00","4,556.00","4,460.00","2.13M","0.13%"
"28/08/2024","4,506.05","4,498.75","4,562.50","4,457.30","1.85M","0.20%"
"27/08/2024","4,497.15","4,505.00","4,510.00","4,486.80","930.70K","-0.12%"
